algorithm,scenario,preset,seed,n_sheep,n_shepherds,success,total_ticks,cohesion,time_to_goal,shepherd_path,success_rate,sheep_in_goal,polarization,outlier_count,min_separation
strombom,drive_to_goal,paper,1,50,1,True,135,4.812093562633457,135.0,146.2605396059175,1.0,50.0,0.5307103392642026,0.0,0.31328186575903066
strombom,drive_to_goal,paper,2,50,1,True,133,4.834174662450466,133.0,152.94108917659858,1.0,50.0,0.6337406714823989,0.0,0.25929670142751915
