model,params,rmse,aic,bic
constant,"{""c"": 1.2}",0.4,-16.3258146374206,-16.023229544426552
linear,"{""a"": 1.4058156229784944, ""b"": -0.0015651378173269586}",0.34811575966952635,-17.104404235766783,-16.499234049778693
power,"{""A"": 2.7282498520863614, ""alpha"": -0.2067095373892277, ""log_log_slope"": -0.16464473304683952}",0.19957997128601312,-28.230805287709877,-27.625635101721784
piecewise,"{""break_n"": 10.0, ""a1"": 1.9999999999999987, ""b1"": 1.5888218580782547e-16, ""a2"": 0.9999999999999996, ""b2"": -7.054072800592629e-19}",5.438959822042073e-16,-266.3102111592855,-264.79728569431524
